r_id,is_deleted,create_at,m_id
1,False,2025-11-01 00:01,1079
2,False,2025-11-01 00:09,2136
3,False,2025-11-01 00:25,1877
4,False,2025-11-01 00:29,8295
5,False,2025-11-01 00:43,5604
6,False,2025-11-01 00:55,7809
7,False,2025-11-01 01:12,7721
8,False,2025-11-01 01:34,2688
9,False,2025-11-01 01:45,6137
10,False,2025-11-01 02:04,2558
11,False,2025-11-01 02:10,9530
12,False,2025-11-01 02:11,112
13,False,2025-11-01 02:11,7516
14,False,2025-11-01 02:16,3409
15,False,2025-11-01 02:28,5856
16,False,2025-11-01 02:29,4929
17,False,2025-11-01 02:35,9856
18,False,2025-11-01 02:57,190
19,False,2025-11-01 03:03,1939
20,False,2025-11-01 03:45,1950
21,False,2025-11-01 04:24,4012
22,False,2025-11-01 04:31,633
23,False,2025-11-01 04:31,679
24,False,2025-11-01 04:42,2334
25,False,2025-11-01 04:44,4735
26,False,2025-11-01 04:49,2839
27,False,2025-11-01 04:51,9149
28,False,2025-11-01 05:03,5821
29,False,2025-11-01 05:14,5218
30,False,2025-11-01 05:14,4435
31,False,2025-11-01 05:20,52
32,False,2025-11-01 05:33,8682
33,False,2025-11-01 05:37,996
34,False,2025-11-01 05:45,3044
35,False,2025-11-01 05:54,2062
36,False,2025-11-01 05:54,3313
37,False,2025-11-01 06:03,5493
38,False,2025-11-01 06:27,1903
39,False,2025-11-01 07:24,6721
40,False,2025-11-01 07:26,4547
41,False,2025-11-01 07:32,8810
42,False,2025-11-01 07:34,9490
43,False,2025-11-01 07:42,8683
44,False,2025-11-01 07:42,5889
45,False,2025-11-01 07:44,7554
46,False,2025-11-01 07:46,6540
47,False,2025-11-01 07:47,6882
48,False,2025-11-01 07:51,1513
49,False,2025-11-01 08:07,7886
50,False,2025-11-01 08:09,9228
51,False,2025-11-01 08:12,2306
52,False,2025-11-01 08:30,2891
53,False,2025-11-01 08:31,2047
54,False,2025-11-01 08:34,8621
55,False,2025-11-01 08:57,2625
56,False,2025-11-01 08:57,8372
57,False,2025-11-01 09:09,5304
58,False,2025-11-01 09:25,2057
59,False,2025-11-01 09:25,3019
60,False,2025-11-01 09:36,6068
61,False,2025-11-01 09:48,1236
62,False,2025-11-01 09:48,9901
63,False,2025-11-01 10:06,7824
64,False,2025-11-01 10:46,589
65,False,2025-11-01 10:46,8222
66,False,2025-11-01 11:23,8129
67,False,2025-11-01 11:38,1631
68,False,2025-11-01 11:53,1516
69,False,2025-11-01 12:09,9
70,False,2025-11-01 12:18,271
71,False,2025-11-01 12:20,562
72,False,2025-11-01 12:38,8701
73,False,2025-11-01 12:49,6832
74,False,2025-11-01 12:55,6707
75,False,2025-11-01 12:57,7765
76,True,2025-11-01 13:12,250
77,False,2025-11-01 13:19,4448
78,False,2025-11-01 13:33,1138
79,False,2025-11-01 13:35,6127
80,False,2025-11-01 13:55,7533
81,False,2025-11-01 14:22,844
82,False,2025-11-01 14:23,5079
83,False,2025-11-01 14:37,1918
84,False,2025-11-01 14:45,8600
85,False,2025-11-01 15:06,7564
86,False,2025-11-01 15:08,4460
87,False,2025-11-01 15:19,7721
88,False,2025-11-01 15:27,5237
89,False,2025-11-01 15:37,3680
90,False,2025-11-01 16:04,3076
91,False,2025-11-01 16:48,405
92,False,2025-11-01 16:51,3071
93,False,2025-11-01 16:52,6292
94,False,2025-11-01 17:07,9796
95,False,2025-11-01 17:17,4013
96,False,2025-11-01 17:31,2065
97,False,2025-11-01 17:37,9496
98,False,2025-11-01 17:46,8301
99,False,2025-11-01 17:49,6083
100,False,2025-11-01 17:50,110
101,False,2025-11-01 17:57,8485
102,False,2025-11-01 18:54,2867
103,False,2025-11-01 19:16,7636
104,False,2025-11-01 19:23,2862
105,False,2025-11-01 19:32,4726
106,False,2025-11-01 19:44,4426
107,False,2025-11-01 20:15,2060
108,False,2025-11-01 20:20,6154
109,False,2025-11-01 20:26,707
110,False,2025-11-01 20:33,9736
111,False,2025-11-01 20:38,2968
112,False,2025-11-01 21:06,4913
113,False,2025-11-01 21:12,5263
114,False,2025-11-01 21:21,9322
115,False,2025-11-01 21:37,6618
116,False,2025-11-01 21:58,7792
117,False,2025-11-01 21:58,2209
118,False,2025-11-01 21:59,5044
119,False,2025-11-01 22:02,1817
120,False,2025-11-01 22:07,2285
121,False,2025-11-01 22:19,6556
122,False,2025-11-01 22:26,6270
123,False,2025-11-01 22:37,472
124,False,2025-11-01 22:38,3430
125,False,2025-11-01 22:54,5576
126,False,2025-11-01 23:02,818
127,False,2025-11-01 23:10,7928
128,False,2025-11-01 23:27,6706
