review_id,score,comment,reviewer_id,reviewee_id,l_id,create_at,is_deleted
1,5,物主回覆很快，取還都很順利，物品也完全符合需求。,6094,2717,160,2025-11-20 16:55,False
2,5,物主回覆很快，取還都很順利，物品也完全符合需求。,3200,5886,6,2025-11-20 19:54,False
3,5,物主回覆很快，取還都很順利，物品也完全符合需求。,67,5978,21,2025-11-21 00:09,False
4,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,5978,67,21,2025-11-21 02:19,False
5,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,2717,6094,160,2025-11-21 02:52,False
6,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,5886,3200,6,2025-11-21 02:59,False
7,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3768,5442,36,2025-11-21 06:17,False
8,5,物品狀況很好，使用起來很方便，謝謝出借！,4105,3448,25,2025-11-21 07:32,False
9,5,物主回覆很快，取還都很順利，物品也完全符合需求。,5442,3768,36,2025-11-21 11:18,False
10,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3448,4105,25,2025-11-21 13:09,False
11,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,5887,1256,209,2025-11-21 20:29,False
12,5,物主回覆很快，取還都很順利，物品也完全符合需求。,1256,5887,209,2025-11-21 20:50,False
13,3,物主回覆很快，取還都很順利，物品也完全符合需求。,4435,468,128,2025-11-22 02:51,False
14,4,物品狀況很好，使用起來很方便，謝謝出借！,4207,6561,284,2025-11-22 06:57,False
15,4,物品狀況很好，使用起來很方便，謝謝出借！,4852,3041,79,2025-11-22 10:02,False
16,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6561,4207,284,2025-11-22 11:39,False
17,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,468,4435,128,2025-11-22 11:50,False
18,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3041,4852,79,2025-11-22 14:00,False
19,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3826,7922,339,2025-11-22 14:09,False
20,5,物主回覆很快，取還都很順利，物品也完全符合需求。,7922,3826,339,2025-11-22 15:27,False
21,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6866,9935,354,2025-11-22 19:57,False
22,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,5544,9935,345,2025-11-22 20:39,False
23,5,物品狀況很好，使用起來很方便，謝謝出借！,9935,6866,354,2025-11-22 21:29,False
24,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,5086,7611,83,2025-11-22 22:48,False
25,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3900,2101,422,2025-11-22 23:45,False
26,5,物品狀況很好，使用起來很方便，謝謝出借！,7611,5086,83,2025-11-23 01:00,False
27,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6756,371,223,2025-11-23 01:16,False
28,4,物主回覆很快，取還都很順利，物品也完全符合需求。,3286,4130,161,2025-11-23 02:56,False
29,4,物品狀況很好，使用起來很方便，謝謝出借！,9935,5544,345,2025-11-23 03:27,False
30,5,物主回覆很快，取還都很順利，物品也完全符合需求。,2101,3900,422,2025-11-23 04:10,False
31,4,物品狀況很好，使用起來很方便，謝謝出借！,5479,1899,363,2025-11-23 04:11,False
32,5,物主回覆很快，取還都很順利，物品也完全符合需求。,371,6756,223,2025-11-23 04:45,False
33,5,物主回覆很快，取還都很順利，物品也完全符合需求。,5237,7530,29,2025-11-23 06:00,False
34,4,物品狀況很好，使用起來很方便，謝謝出借！,6829,6983,279,2025-11-23 06:08,False
35,3,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,4130,3286,161,2025-11-23 06:52,False
36,4,物主回覆很快，取還都很順利，物品也完全符合需求。,7821,6942,140,2025-11-23 08:22,False
37,5,物主回覆很快，取還都很順利，物品也完全符合需求。,869,8547,80,2025-11-23 08:32,False
38,3,物主回覆很快，取還都很順利，物品也完全符合需求。,9102,9105,96,2025-11-23 09:10,False
39,4,物品狀況很好，使用起來很方便，謝謝出借！,7611,6690,135,2025-11-23 09:20,False
40,5,物主回覆很快，取還都很順利，物品也完全符合需求。,3881,4271,377,2025-11-23 09:31,False
41,4,物主回覆很快，取還都很順利，物品也完全符合需求。,8295,7249,479,2025-11-23 10:13,False
42,3,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7530,5237,29,2025-11-23 10:37,False
43,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,1899,5479,363,2025-11-23 11:58,False
44,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,9105,9102,96,2025-11-23 12:15,False
45,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,2738,4435,199,2025-11-23 13:29,False
46,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6690,7611,135,2025-11-23 13:57,False
47,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6983,6829,279,2025-11-23 14:10,False
48,3,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,2125,6098,470,2025-11-23 14:42,False
49,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,4271,3881,377,2025-11-23 14:56,False
50,5,物品狀況很好，使用起來很方便，謝謝出借！,4435,2738,199,2025-11-23 16:05,False
51,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,8547,869,80,2025-11-23 16:26,False
52,5,物主回覆很快，取還都很順利，物品也完全符合需求。,1399,7745,434,2025-11-23 16:55,False
53,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7249,8295,479,2025-11-23 17:13,False
54,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6942,7821,140,2025-11-23 17:35,False
55,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7604,6191,72,2025-11-23 18:11,False
56,4,物品狀況很好，使用起來很方便，謝謝出借！,6098,2125,470,2025-11-23 19:07,False
57,4,物主回覆很快，取還都很順利，物品也完全符合需求。,9714,7563,82,2025-11-23 19:42,False
58,4,物主回覆很快，取還都很順利，物品也完全符合需求。,5896,8043,340,2025-11-23 19:42,False
59,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,8043,5896,340,2025-11-23 20:19,False
60,5,物品狀況很好，使用起來很方便，謝謝出借！,5264,7616,9,2025-11-23 21:00,False
61,4,物主回覆很快，取還都很順利，物品也完全符合需求。,6191,7604,72,2025-11-23 21:46,False
62,2,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,69,4583,419,2025-11-23 22:32,False
63,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7563,9714,82,2025-11-23 23:07,False
64,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7745,1399,434,2025-11-24 00:22,False
65,5,物品狀況很好，使用起來很方便，謝謝出借！,8871,8023,32,2025-11-24 00:42,False
66,4,物品狀況很好，使用起來很方便，謝謝出借！,4646,2812,452,2025-11-24 00:45,False
67,5,物品狀況很好，使用起來很方便，謝謝出借！,4583,69,419,2025-11-24 01:00,False
68,4,物品狀況很好，使用起來很方便，謝謝出借！,67,3456,13,2025-11-24 01:00,False
69,4,物主回覆很快，取還都很順利，物品也完全符合需求。,9102,108,147,2025-11-24 01:29,False
70,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,2785,6098,453,2025-11-24 01:34,False
71,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,8023,8871,32,2025-11-24 02:21,False
72,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3456,67,13,2025-11-24 02:26,False
73,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,2812,4646,452,2025-11-24 03:17,False
74,3,物品狀況很好，使用起來很方便，謝謝出借！,6353,5279,250,2025-11-24 03:18,False
75,4,物主回覆很快，取還都很順利，物品也完全符合需求。,2119,1068,281,2025-11-24 03:23,False
76,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,108,9102,147,2025-11-24 03:46,False
77,5,物品狀況很好，使用起來很方便，謝謝出借！,4583,479,455,2025-11-24 06:31,False
78,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,7616,5264,9,2025-11-24 06:36,False
79,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,1068,2119,281,2025-11-24 06:53,False
80,4,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,9957,5513,156,2025-11-24 07:26,False
81,4,物主回覆很快，取還都很順利，物品也完全符合需求。,5513,9957,156,2025-11-24 07:38,False
82,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,710,4673,601,2025-11-24 10:01,False
83,2,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,6207,3881,437,2025-11-24 10:05,False
84,5,借用人準時且溝通順暢，歸還時物品也保持得很乾淨！,3261,6172,167,2025-11-24 10:11,False
